source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000004,causeway_coast_glens,N09000005,derry_strabane,none,56,11252,4.976893
N09000004,causeway_coast_glens,N09000006,fermanagh_omagh,catholic,27,56862,0.474834
N09000004,causeway_coast_glens,N09000006,fermanagh_omagh,protestant,25,72530,0.344685
N09000004,causeway_coast_glens,N09000006,fermanagh_omagh,none,28,11252,2.488446
N09000004,causeway_coast_glens,N09000007,lisburn_castlereagh,catholic,20,56862,0.351729
N09000004,causeway_coast_glens,N09000007,lisburn_castlereagh,protestant,42,72530,0.579071
N09000004,causeway_coast_glens,N09000007,lisburn_castlereagh,other,1,1102,0.907441
N09000004,causeway_coast_glens,N09000007,lisburn_castlereagh,none,29,11252,2.57732
N09000004,causeway_coast_glens,N09000008,mid_east_antrim,catholic,73,56862,1.28381
N09000004,causeway_coast_glens,N09000008,mid_east_antrim,protestant,183,72530,2.523094
N09000004,causeway_coast_glens,N09000008,mid_east_antrim,none,88,11252,7.820832
N09000004,causeway_coast_glens,N09000009,mid_ulster,catholic,95,56862,1.670712
N09000004,causeway_coast_glens,N09000009,mid_ulster,protestant,58,72530,0.799669
N09000004,causeway_coast_glens,N09000009,mid_ulster,other,1,1102,0.907441
N09000004,causeway_coast_glens,N09000009,mid_ulster,none,31,11252,2.755066
N09000004,causeway_coast_glens,N09000010,newry_mourne_down,catholic,43,56862,0.756217
N09000004,causeway_coast_glens,N09000010,newry_mourne_down,protestant,28,72530,0.386047
N09000004,causeway_coast_glens,N09000010,newry_mourne_down,other,3,1102,2.722323
N09000004,causeway_coast_glens,N09000010,newry_mourne_down,none,55,11252,4.88802
N09000004,causeway_coast_glens,N09000011,ards_north_down,catholic,24,56862,0.422074
N09000004,causeway_coast_glens,N09000011,ards_north_down,protestant,59,72530,0.813457
N09000004,causeway_coast_glens,N09000011,ards_north_down,other,1,1102,0.907441
N09000004,causeway_coast_glens,N09000011,ards_north_down,none,35,11252,3.110558
N09000005,derry_strabane,N09000001,antrim_and_newtownabbey,catholic,44,109131,0.403185
N09000005,derry_strabane,N09000001,antrim_and_newtownabbey,protestant,24,34848,0.688705
